actor,target,type
MartinJohns,denis-migdal,comment
mkantor,denis-migdal,comment
RyanCavanaugh,denis-migdal,comment
RyanCavanaugh,denis-migdal,comment
typescript-bot,denis-migdal,comment
typescript-bot,denis-migdal,issue_commented
MartinJohns,Abrifq,comment
dagangtj,Abrifq,comment
mkantor,m-hall,comment
RyanCavanaugh,julienw,comment
RyanCavanaugh,julienw,comment
RyanCavanaugh,julienw,comment
RyanCavanaugh,julienw,comment
MartinJohns,marqdouj,comment
RyanCavanaugh,marqdouj,issue_commented
RyanCavanaugh,denis-migdal,comment
RedCMD,kidCaulfield,comment
RyanCavanaugh,kidCaulfield,comment
RyanCavanaugh,denis-migdal,comment
typescript-bot,denis-migdal,comment
typescript-bot,denis-migdal,issue_commented
Hamzaa6296,TurtIeSocks,comment
guillaumebrunerie,swarajkd,comment
RyanCavanaugh,swarajkd,comment
RyanCavanaugh,swarajkd,issue_commented
RyanCavanaugh,sebaspf,comment
jakebailey,sebaspf,comment
typescript-bot,sebaspf,comment
typescript-bot,sebaspf,issue_commented
RyanCavanaugh,denis-migdal,comment
RyanCavanaugh,NullVoxPopuli,comment
RyanCavanaugh,NullVoxPopuli,comment
MartinJohns,codextremist,comment
RyanCavanaugh,denis-migdal,comment
jcalz,kevalcodezee,comment
RyanCavanaugh,RobertSandiford,comment
RyanCavanaugh,RobertSandiford,comment
RyanCavanaugh,pfgithub,comment
MartinJohns,Uanela,comment
RyanCavanaugh,JLHwung,issue_commented
RyanCavanaugh,Aylur,comment
RyanCavanaugh,avivkeller,comment
RyanCavanaugh,avivkeller,comment
RyanCavanaugh,avivkeller,issue_commented
RyanCavanaugh,FunctionDJ,comment
RyanCavanaugh,FunctionDJ,comment
deepnav4,tomhamiltonlambda,comment
dagangtj,tomhamiltonlambda,comment
RyanCavanaugh,OldStarchy,comment
RyanCavanaugh,OldStarchy,comment
typescript-bot,OldStarchy,comment
RyanCavanaugh,OldStarchy,comment
typescript-bot,OldStarchy,issue_commented
RyanCavanaugh,GuichiZhao,comment
RyanCavanaugh,GuichiZhao,issue_commented
jakebailey,eps1lon,comment
jakebailey,eps1lon,comment
RyanCavanaugh,eduardocque,comment
RyanCavanaugh,eduardocque,comment
RyanCavanaugh,eduardocque,comment
MartinJohns,eduardocque,comment
typescript-bot,eduardocque,comment
typescript-bot,eduardocque,issue_commented
nmain,wyattscarpenter,comment
typescript-bot,wyattscarpenter,comment
typescript-bot,wyattscarpenter,issue_commented
RyanCavanaugh,jasonlyu123,comment
typescript-bot,jasonlyu123,comment
coderlife-book,jasonlyu123,comment
typescript-bot,jasonlyu123,issue_commented
RyanCavanaugh,BrandonStudio,comment
MartinJohns,rrader26,comment
RyanCavanaugh,rrader26,issue_commented
D2758695161,zardalt,comment
MartinJohns,ethanresnick,comment
typescript-bot,ethanresnick,comment
typescript-bot,ethanresnick,issue_commented
mkantor,regseb,comment
mkantor,regseb,comment
mkantor,regseb,comment
mkantor,regseb,comment
matthewbordas,regseb,comment
mkantor,regseb,comment
mkantor,5cover,comment
RyanCavanaugh,5cover,comment
RyanCavanaugh,5cover,issue_commented
RyanCavanaugh,Iemand005,comment
RyanCavanaugh,Iemand005,comment
RyanCavanaugh,Iemand005,issue_commented
olivermrose,reesericci,comment
MartinJohns,reesericci,comment
olivermrose,reesericci,comment
MartinJohns,reesericci,comment
snarbles2,reesericci,comment
MartinJohns,reesericci,comment
RyanCavanaugh,reesericci,comment
RyanCavanaugh,reesericci,issue_commented
matheusschreiber,darkship,comment
RyanCavanaugh,darkship,comment
RyanCavanaugh,darkship,issue_commented
MartinJohns,masaeedu,comment
typescript-bot,masaeedu,comment
typescript-bot,masaeedu,issue_commented
RyanCavanaugh,zimtsui,comment
typescript-bot,zimtsui,comment
typescript-bot,zimtsui,issue_commented
RyanCavanaugh,GertSallaerts,comment
jakebailey,baraknaveh,comment
RyanCavanaugh,baraknaveh,comment
RyanCavanaugh,baraknaveh,issue_commented
RyanCavanaugh,denis-sokolov,comment
RyanCavanaugh,denis-sokolov,comment
RyanCavanaugh,denis-sokolov,comment
RyanCavanaugh,denis-sokolov,comment
typescript-bot,denis-sokolov,comment
typescript-bot,denis-sokolov,issue_commented
MartinJohns,SunsetFi,comment
MartinJohns,SunsetFi,comment
RyanCavanaugh,trevorade,comment
RyanCavanaugh,trevorade,comment
RyanCavanaugh,trevorade,issue_commented
jcalz,yarden-app,comment
RyanCavanaugh,yarden-app,comment
RyanCavanaugh,yarden-app,comment
typescript-bot,yarden-app,comment
typescript-bot,yarden-app,issue_commented
MartinJohns,mfulton26,comment
MartinJohns,mfulton26,comment
RyanCavanaugh,mfulton26,comment
RyanCavanaugh,mfulton26,comment
typescript-bot,mfulton26,comment
typescript-bot,mfulton26,issue_commented
vs-code-engineering[bot],AndresSomadossi,comment
RyanCavanaugh,AndresSomadossi,comment
RyanCavanaugh,AndresSomadossi,issue_commented
MartinJohns,5cover,comment
RyanCavanaugh,5cover,comment
RyanCavanaugh,5cover,comment
PrathamPeriwal,fweth,comment
RyanCavanaugh,fweth,comment
MartinJohns,fweth,comment
RyanCavanaugh,fweth,issue_commented
RyanCavanaugh,DashwoodIce9,comment
RyanCavanaugh,DashwoodIce9,issue_commented
mkantor,sakgoyal,comment
mkantor,sakgoyal,comment
RyanCavanaugh,sakgoyal,comment
RyanCavanaugh,sakgoyal,comment
typescript-bot,sakgoyal,comment
typescript-bot,sakgoyal,issue_commented
Andarist,juhort,comment
DanielRosenwasser,yarden-app,comment
RyanCavanaugh,yarden-app,comment
DanielRosenwasser,yarden-app,comment
mkantor,yarden-app,comment
mkantor,yarden-app,comment
RyanCavanaugh,magic-akari,comment
typescript-bot,magic-akari,comment
typescript-bot,magic-akari,issue_commented
BillionClaw,na7ure-a,comment
BillionClaw,na7ure-a,comment
ahejlsberg,na7ure-a,issue_commented
ace-tk,Withered-Flower-0422,comment
AlejandroGispert,Withered-Flower-0422,comment
RyanCavanaugh,Withered-Flower-0422,comment
RyanCavanaugh,Withered-Flower-0422,issue_commented
RyanCavanaugh,TomStrepsil,comment
RyanCavanaugh,TomStrepsil,comment
BillionClaw,HHaoWang,comment
ryadaladyb45-blip,HHaoWang,comment
RyanCavanaugh,na7ure-a,comment
ahejlsberg,na7ure-a,issue_commented
RyanCavanaugh,na7ure-a,comment
RyanCavanaugh,na7ure-a,issue_commented
MartinJohns,fudom,comment
typescript-bot,fudom,comment
typescript-bot,fudom,issue_commented
MartinJohns,eliashakuni,comment
Withered-Flower-0422,eliashakuni,comment
typescript-bot,eliashakuni,comment
typescript-bot,eliashakuni,issue_commented
MartinJohns,Busyrev,comment
MartinJohns,ChromeQ,comment
typescript-bot,ChromeQ,comment
typescript-bot,ChromeQ,issue_commented
RyanCavanaugh,angelgsbrielruano,issue_commented
paigefletcher1282-code,seetyewsiang,comment
DanielRosenwasser,lgarron,comment
DanielRosenwasser,lgarron,issue_commented
MartinJohns,karlismelderis-mckinsey,comment
typescript-bot,karlismelderis-mckinsey,comment
typescript-bot,karlismelderis-mckinsey,issue_commented
RyanCavanaugh,aswinsvijay,comment
MartinJohns,dragomirtitian,comment
RyanCavanaugh,deyaaeldeen,comment
khalidsaidi,deyaaeldeen,comment
typescript-bot,deyaaeldeen,comment
typescript-bot,deyaaeldeen,issue_commented
jcalz,iluha168,comment
Andarist,iluha168,comment
paigefletcher1282-code,iluha168,comment
MartinJohns,VitaliiZemliakov,comment
snarbles2,VitaliiZemliakov,comment
RyanCavanaugh,VitaliiZemliakov,comment
paigefletcher1282-code,VitaliiZemliakov,comment
RyanCavanaugh,VitaliiZemliakov,issue_commented
RyanCavanaugh,rotemdan,comment
Andarist,dragomirtitian,comment
Andarist,dragomirtitian,comment
RyanCavanaugh,StyleShit,comment
jakebailey,StyleShit,comment
paigefletcher1282-code,StyleShit,comment
jakebailey,StyleShit,issue_commented
RyanCavanaugh,nishiikata,comment
RyanCavanaugh,nishiikata,issue_commented
RyanCavanaugh,juanjh1,comment
Andarist,juanjh1,comment
Andarist,dragomirtitian,comment
MartinJohns,xuld,comment
nuckolp-amzn,xuld,comment
RyanCavanaugh,denis-migdal,comment
DanielRosenwasser,cecilyhunt,comment
MartinJohns,ScienceArtist,comment
MartinJohns,juhort,comment
MartinJohns,juhort,comment
MartinJohns,juhort,comment
mkantor,juhort,comment
mkantor,juhort,comment
MartinJohns,juhort,comment
jcalz,juhort,comment
RyanCavanaugh,juhort,comment
typescript-bot,juhort,comment
typescript-bot,juhort,issue_commented
andrewbranch,monsanto,comment
paigefletcher1282-code,monsanto,comment
YukiCodepth,nmattia,comment
MartinJohns,duanshixuan,comment
typescript-bot,duanshixuan,comment
typescript-bot,duanshixuan,issue_commented
RyanCavanaugh,kkirby,comment
RyanCavanaugh,kkirby,comment
RyanCavanaugh,kkirby,comment
RyanCavanaugh,netjordanlee,comment
MartinJohns,denis-migdal,comment
MartinJohns,denis-migdal,comment
nmain,denis-migdal,comment
RyanCavanaugh,denis-migdal,comment
RyanCavanaugh,denis-migdal,comment
RyanCavanaugh,james-pre,comment
mkantor,james-pre,comment
caomingpei,james-pre,comment
RyanCavanaugh,james-pre,comment
RyanCavanaugh,james-pre,issue_commented
RyanCavanaugh,shahanahmed86,comment
RyanCavanaugh,shahanahmed86,comment
paigefletcher1282-code,shahanahmed86,comment
jobergner,shahanahmed86,comment
nmain,denis-migdal,comment
MartinJohns,denis-migdal,comment
MartinJohns,denis-migdal,comment
WhiteMinds,denis-migdal,comment
alisa-xh,denis-migdal,comment
RyanCavanaugh,na7ure-a,comment
Andarist,na7ure-a,comment
Andarist,na7ure-a,comment
RyanCavanaugh,na7ure-a,comment
MartinJohns,Chklang,comment
nmain,Chklang,comment
MartinJohns,Chklang,comment
RyanCavanaugh,Chklang,comment
jcalz,Chklang,comment
typescript-bot,Chklang,comment
typescript-bot,Chklang,issue_commented
RyanCavanaugh,afarnsworth-valve,comment
ahejlsberg,afarnsworth-valve,issue_commented
MartinJohns,Boukeng-rochinel,comment
nmain,Boukeng-rochinel,comment
jcalz,Boukeng-rochinel,comment
MartinJohns,Boukeng-rochinel,comment
RyanCavanaugh,Boukeng-rochinel,comment
typescript-bot,Boukeng-rochinel,comment
typescript-bot,Boukeng-rochinel,issue_commented
guillaumebrunerie,mitar,comment
mkantor,mitar,comment
RyanCavanaugh,mitar,comment
typescript-bot,mitar,comment
RyanCavanaugh,mitar,comment
snarbles2,mitar,comment
RyanCavanaugh,mitar,comment
RyanCavanaugh,mitar,comment
snarbles2,mitar,comment
mkantor,mitar,comment
RyanCavanaugh,yavanosta,comment
RyanCavanaugh,yavanosta,comment
nmain,jogibear9988,comment
RyanCavanaugh,jogibear9988,comment
RyanCavanaugh,Hasan-Mir,comment
RyanCavanaugh,Hasan-Mir,issue_commented
RyanCavanaugh,unional,comment
jakebailey,umarfarooq478,issue_commented
jakebailey,umarfarooq478,issue_commented
jakebailey,umarfarooq478,issue_commented
knowltonn287-source,na7ure-a,comment
jakebailey,umarfarooq478,issue_commented
jakebailey,umarfarooq478,issue_commented
jakebailey,umarfarooq478,issue_commented
jakebailey,umarfarooq478,issue_commented
jakebailey,umarfarooq478,issue_commented
RyanCavanaugh,remcohaszing,comment
RyanCavanaugh,remcohaszing,comment
RyanCavanaugh,remcohaszing,issue_commented
vs-code-engineering[bot],bkatzung,comment
adhnannp,psnet,comment
RyanCavanaugh,psnet,comment
RyanCavanaugh,psnet,comment
RyanCavanaugh,psnet,issue_commented
MartinJohns,LukeAbby,comment
MartinJohns,LukeAbby,comment
typescript-bot,LukeAbby,comment
typescript-bot,LukeAbby,issue_commented
Andarist,juhort,comment
RyanCavanaugh,FrameMuse,comment
MartinJohns,james-boxem,comment
MartinJohns,james-boxem,comment
vs-code-engineering[bot],Arlen22,comment
mjbvz,Arlen22,comment
AbhinavJD7,Arlen22,comment
Andarist,aweebit,comment
MartinJohns,AFatNiBBa,comment
MartinJohns,joshcartme,comment
MartinJohns,joshcartme,comment
nmain,joshcartme,comment
jcalz,joshcartme,comment
typescript-bot,joshcartme,comment
typescript-bot,joshcartme,issue_commented
MartinJohns,benhatsor,comment
RyanCavanaugh,benhatsor,comment
Ayoub-glitsh,benhatsor,comment
typescript-bot,benhatsor,comment
typescript-bot,benhatsor,issue_commented
MartinJohns,johndeighan,comment
RyanCavanaugh,johndeighan,comment
typescript-bot,johndeighan,comment
typescript-bot,johndeighan,issue_commented
Ayoub-glitsh,dwjohnston,comment
RyanCavanaugh,dwjohnston,comment
jakebailey,valler,comment
RyanCavanaugh,valler,comment
snarbles2,AFatNiBBa,comment
jcalz,AFatNiBBa,comment
RyanCavanaugh,AFatNiBBa,comment
guillaumebrunerie,ackvf,comment
RyanCavanaugh,ackvf,comment
guillaumebrunerie,ackvf,comment
guillaumebrunerie,ackvf,comment
RyanCavanaugh,ackvf,comment
mkantor,jedwards1211,comment
RyanCavanaugh,jedwards1211,comment
RyanCavanaugh,jedwards1211,issue_commented
nmain,danciudev,comment
guillaumebrunerie,danciudev,comment
MartinJohns,polson136,comment
andrewbranch,polson136,comment
andrewbranch,polson136,issue_commented
RyanCavanaugh,admin1douyin,issue_commented
mkantor,UnVuTWFu,comment
mkantor,UnVuTWFu,comment
MartinJohns,UnVuTWFu,comment
RyanCavanaugh,UnVuTWFu,comment
RyanCavanaugh,UnVuTWFu,comment
RyanCavanaugh,UnVuTWFu,issue_commented
RyanCavanaugh,admin1douyin,issue_commented
RyanCavanaugh,valler,comment
RyanCavanaugh,na7ure-a,comment
Andarist,na7ure-a,comment
SyedAdeel00,hgl,comment
RyanCavanaugh,baymer,comment
RyanCavanaugh,baymer,comment
RyanCavanaugh,baymer,comment
RyanCavanaugh,baymer,issue_commented
Andarist,na7ure-a,comment
Andarist,na7ure-a,comment
RyanCavanaugh,na7ure-a,comment
ibesuperv,na7ure-a,comment
RyanCavanaugh,na7ure-a,comment
ibesuperv,na7ure-a,comment
RyanCavanaugh,na7ure-a,comment
iroquoispliskin2,na7ure-a,comment
ahejlsberg,na7ure-a,comment
jcalz,dyantako,comment
RyanCavanaugh,dyantako,comment
RyanCavanaugh,dyantako,comment
Andarist,na7ure-a,comment
DanielRosenwasser,mkantor,comment
RyanCavanaugh,morshedniaz,issue_commented
MartinJohns,coreywoodfield,comment
RyanCavanaugh,coreywoodfield,comment
typescript-bot,coreywoodfield,comment
typescript-bot,coreywoodfield,issue_commented
IllusionMH,kkmuffme,comment
MartinJohns,Uanela,comment
jcalz,Uanela,comment
RyanCavanaugh,Uanela,comment
MartinJohns,cc01cc,comment
Ayoub-glitsh,matthieusieben,comment
mrazauskas,matthieusieben,comment
mkantor,fisker,comment
mkantor,fisker,comment
RyanCavanaugh,fisker,comment
bradzacher,fisker,comment
typescript-bot,fisker,comment
bradzacher,fisker,comment
RyanCavanaugh,fisker,comment
typescript-bot,fisker,issue_commented
RyanCavanaugh,kkmuffme,comment
RyanCavanaugh,kkmuffme,comment
typescript-bot,kkmuffme,comment
typescript-bot,kkmuffme,issue_commented
petamoriken,DanielRosenwasser,comment
jakebailey,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
HolgerJeromin,DanielRosenwasser,comment
erictheswift,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
HolgerJeromin,DanielRosenwasser,comment
ekalkutin,DanielRosenwasser,comment
jakebailey,DanielRosenwasser,comment
ekalkutin,DanielRosenwasser,comment
jakebailey,DanielRosenwasser,comment
ekalkutin,DanielRosenwasser,comment
paigefletcher1282-code,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
typescript-bot,DanielRosenwasser,comment
webrcost4,DanielRosenwasser,comment
newives,DanielRosenwasser,comment
jakebailey,DanielRosenwasser,comment
newives,DanielRosenwasser,comment
mkantor,skirtles-code,comment
RyanCavanaugh,skirtles-code,comment
typescript-bot,skirtles-code,comment
mkantor,skirtles-code,comment
typescript-bot,skirtles-code,issue_commented
MartinJohns,jozefchutka,comment
jcalz,jozefchutka,comment
typescript-bot,jozefchutka,comment
