actor,target,type
DanielRosenwasser,jakebailey,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],jakebailey,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,jakebailey,PR_MERGE
RyanCavanaugh,arnavnagzirkar,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ljharb,COMMENT_ON_ISSUE_OR_PR
typescript-bot,ljharb,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,ljharb,COMMENT_ON_ISSUE_OR_PR
Renegade334,ljharb,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,ljharb,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],ljharb,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,arnavnagzirkar,COMMENT_ON_ISSUE_OR_PR
MartinJohns,jlaportebot,COMMENT_ON_ISSUE_OR_PR
MartinJohns,jlaportebot,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],jlaportebot,PR_REVIEW_OR_APPROVAL
typescript-bot,Nedunchezhiyan-M,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,arnavnagzirkar,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],arnavnagzirkar,PR_REVIEW_OR_APPROVAL
typescript-bot,orbisai0security,COMMENT_ON_ISSUE_OR_PR
typescript-bot,orbisai0security,COMMENT_ON_ISSUE_OR_PR
jakebailey,orbisai0security,COMMENT_ON_ISSUE_OR_PR
ritschwumm,orbisai0security,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,orbisai0security,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],orbisai0security,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,SAY-5,COMMENT_ON_ISSUE_OR_PR
typescript-bot,SAY-5,COMMENT_ON_ISSUE_OR_PR
mkantor,arnavnagzirkar,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],arnavnagzirkar,PR_REVIEW_OR_APPROVAL
jakebailey,afurm,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,hijingsong,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],ibondarenko1,PR_REVIEW_OR_APPROVAL
copilot-pull-request-reviewer[bot],ibondarenko1,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,ibondarenko1,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,ibondarenko1,PR_REVIEW_OR_APPROVAL
RyanCavanaugh,ibondarenko1,PR_MERGE
zanminkian,RyanCavanaugh,COMMENT_ON_ISSUE_OR_PR
